seed,density,numberOfRightAngleTurns,visitSize,visitExcess,duration,pathSize,maxMemory,algorithm,message
70,8,2,34,14,0.00043270899914205074,19,6096,da2,
70,8,1,94,75,0.000549082993529737,19,11656,a2,
70,8,1,94,75,0.0007874579750932753,19,8968,lee,
70,8,0,35,15,0.00023291597608476877,20,1760,larbsa,MERGEINTRAIL R:17
70,8,11,42,23,0.0002494999789632857,19,1968,larbsa-pythag,MERGEPOINT R:17
70,8,1,35,16,0.00030162499751895666,19,1752,larbsa-pruned,MERGEDIRECT R:17
70,8,5,39,20,0.0004927500267513096,19,1856,larbsa-pruned-spacing,MERGEDIRECT R:17
70,8,8,65,52,0.0007670000195503235,13,2352,larbsa-8-pruned-spacing,MERGEDIRECT R:12
70,8,4,94,88,0.009081375028472394,6,6888,rrt,
70,8,9,51,40,0.0010006249649450183,11,5872,jps,
70,8,1,94,75,0.00035045796539634466,19,6904,bf,
70,8,3,94,75,0.00034425000194460154,19,6904,spfa,
71,8,2,34,14,0.0004354999982751906,19,6160,da2,
71,8,1,92,73,0.0005544579471461475,19,11656,a2,
71,8,1,92,73,0.000774916959926486,19,8968,lee,
71,8,0,35,15,0.00023454200709238648,20,1768,larbsa,MERGEINTRAIL R:17
71,8,11,43,24,0.00025733403163030744,19,1984,larbsa-pythag,MERGEPOINT R:17
71,8,1,35,16,0.0003005419857800007,19,1760,larbsa-pruned,MERGEDIRECT R:17
71,8,9,48,29,0.0005771669675596058,19,2040,larbsa-pruned-spacing,MERGEDIRECT R:17
71,8,9,55,44,0.0006286660209298134,11,2024,larbsa-8-pruned-spacing,MERGEINTRAIL R:10
71,8,2,11,7,6.566697265952826e-05,4,920,rrt,
71,8,8,34,24,0.0004746670019812882,10,3080,jps,
71,8,1,92,73,0.00034245802089571953,19,6904,bf,
71,8,5,92,73,0.0003338339738547802,19,6904,spfa,
72,8,4,45,25,0.0004877910250797868,19,8944,da2,
72,8,4,93,74,0.0005254999850876629,19,11688,a2,
72,8,4,94,75,0.0007976670167408884,19,8968,lee,
72,8,3,44,24,0.00024233298609033227,20,2000,larbsa,MERGEINTRAIL R:17
72,8,12,46,27,0.00026058399816975,19,2024,larbsa-pythag,MERGEPOINT R:17
72,8,4,44,25,0.00031154201133176684,19,1992,larbsa-pruned,MERGEDIRECT R:17
72,8,12,46,27,0.0005572080262936652,19,2024,larbsa-pruned-spacing,MERGEDIRECT R:17
72,8,9,54,42,0.0006499590235762298,12,2088,larbsa-8-pruned-spacing,MERGEINTRAIL R:10
72,8,6,64,56,0.0009952499531209469,8,3368,rrt,
72,8,8,34,24,0.0005107920151203871,10,3080,jps,
72,8,4,94,75,0.0006342909764498472,19,6904,bf,
72,8,1,94,75,0.0003434160025790334,19,6904,spfa,
73,8,2,35,15,0.00043949997052550316,19,6168,da2,
73,8,1,92,73,0.0005339999916031957,19,11624,a2,
73,8,1,92,73,0.0007602500263601542,19,8968,lee,
73,8,0,36,16,0.00023662496823817492,20,1848,larbsa,MERGEINTRAIL R:17
73,8,13,46,27,0.00025816698325797915,19,2040,larbsa-pythag,MERGEPOINT R:17
73,8,1,36,17,0.00030308403074741364,19,1840,larbsa-pruned,MERGEDIRECT R:17
73,8,7,52,33,0.0006186249665915966,19,2728,larbsa-pruned-spacing,MERGEDIRECT R:19
73,8,8,54,42,0.0007164580165408552,12,2112,larbsa-8-pruned-spacing,MERGEDIRECT R:10
73,8,3,92,87,0.009168417018372566,5,6888,rrt,
73,8,9,53,42,0.0013472499558702111,11,5936,jps,
73,8,1,92,73,0.0003452500095590949,19,6904,bf,
73,8,3,92,73,0.00034149998100474477,19,6904,spfa,
74,8,2,33,13,0.0004337920108810067,19,6088,da2,
74,8,1,92,73,0.0005237910081632435,19,11688,a2,
74,8,1,92,73,0.0007692910148762167,19,8968,lee,
74,8,0,34,14,0.0002376250340603292,20,1752,larbsa,MERGEINTRAIL R:17
74,8,9,44,23,0.0002799169742502272,21,2568,larbsa-pythag,MERGEPOINT R:19
74,8,1,34,15,0.00030399998649954796,19,1744,larbsa-pruned,MERGEDIRECT R:17
74,8,9,56,35,0.0006894999532960355,21,2832,larbsa-pruned-spacing,MERGEDIRECT R:21
74,8,9,68,54,0.0008447919972240925,14,2368,larbsa-8-pruned-spacing,MERGEDIRECT R:13
74,8,2,43,39,0.0005388329736888409,4,3368,rrt,
74,8,9,52,41,0.0009760840330272913,11,5872,jps,
74,8,1,92,73,0.00034145801328122616,19,6904,bf,
74,8,6,92,73,0.0003400829737074673,19,6904,spfa,
75,8,4,39,19,0.00047754100523889065,19,7200,da2,
75,8,5,95,76,0.0005644169868901372,19,11688,a2,
75,8,5,95,76,0.0009673330350778997,19,8968,lee,
75,8,4,38,18,0.00025412498507648706,20,1848,larbsa,MERGEINTRAIL R:17
75,8,11,44,25,0.0002715419977903366,19,2008,larbsa-pythag,MERGEPOINT R:17
75,8,5,38,19,0.00031350000062957406,19,1840,larbsa-pruned,MERGEDIRECT R:17
75,8,7,49,30,0.0006218749913387001,19,2064,larbsa-pruned-spacing,MERGEDIRECT R:17
75,8,7,67,55,0.0008374999742954969,12,2328,larbsa-8-pruned-spacing,MERGEDIRECT R:11
75,8,3,24,19,0.00015112495748326182,5,1736,rrt,
75,8,8,37,27,0.0006206670077517629,10,3080,jps,
75,8,5,95,76,0.0003646669792942703,19,6904,bf,
75,8,1,95,76,0.00035920797381550074,19,6904,spfa,
76,8,2,36,16,0.00044837500900030136,19,6176,da2,
76,8,1,87,68,0.0004730409709736705,19,11752,a2,
76,8,1,92,73,0.0007929159910418093,19,8968,lee,
76,8,0,37,17,0.0002445839927531779,20,1856,larbsa,MERGEINTRAIL R:17
76,8,11,48,29,0.0002757910406216979,19,2344,larbsa-pythag,MERGEPOINT R:18
76,8,1,37,18,0.0003143330104649067,19,1848,larbsa-pruned,MERGEDIRECT R:17
76,8,5,45,26,0.0005477080121636391,19,2032,larbsa-pruned-spacing,MERGEDIRECT R:17
76,8,8,64,50,0.0007604999700561166,14,2224,larbsa-8-pruned-spacing,MERGEDIRECT R:14
76,8,1,54,49,0.0011019170051440597,5,3368,rrt,
76,8,9,45,34,0.0008753750007599592,11,5872,jps,
76,8,1,92,73,0.0006220419891178608,19,6904,bf,
76,8,3,92,73,0.0003469999646767974,19,6904,spfa,
77,8,2,41,21,0.0007063749944791198,19,7280,da2,
77,8,2,94,75,0.000546917028259486,19,11688,a2,
77,8,2,94,75,0.0008258750312961638,19,8968,lee,
77,8,2,40,20,0.000254416954703629,20,1944,larbsa,MERGEINTRAIL R:17
77,8,10,42,23,0.0002790840226225555,19,1968,larbsa-pythag,MERGEPOINT R:17
77,8,2,40,21,0.00032045802799984813,19,1936,larbsa-pruned,MERGEDIRECT R:17
77,8,8,56,37,0.0006830830243416131,19,2792,larbsa-pruned-spacing,MERGEDIRECT R:21
77,8,10,71,57,0.0008632080280221999,14,2440,larbsa-8-pruned-spacing,MERGEDIRECT R:14
77,8,3,88,82,0.004142582998611033,6,6888,rrt,
77,8,9,39,28,0.0007848750101402402,11,3016,jps,
77,8,2,94,75,0.00035683298483490944,19,6904,bf,
77,8,1,94,75,0.00035129202296957374,19,6904,spfa,
78,8,2,35,15,0.0004430420231074095,19,6168,da2,
78,8,1,96,77,0.0005481659900397062,19,11656,a2,
78,8,1,96,77,0.0008141250000335276,19,8968,lee,
78,8,0,36,16,0.00023966701701283455,20,1848,larbsa,MERGEINTRAIL R:17
78,8,9,46,27,0.00026125001022592187,19,2040,larbsa-pythag,MERGEPOINT R:17
78,8,1,36,17,0.0003066250355914235,19,1840,larbsa-pruned,MERGEDIRECT R:17
78,8,7,55,36,0.000651499954983592,19,2752,larbsa-pruned-spacing,MERGEDIRECT R:19
78,8,9,61,49,0.0007394999847747386,12,2152,larbsa-8-pruned-spacing,MERGEINTRAIL R:10
78,8,2,18,14,0.00011025002459064126,4,920,rrt,
78,8,8,39,29,0.0006195409805513918,10,3080,jps,
78,8,1,96,77,0.00035450002178549767,19,6904,bf,
78,8,1,96,77,0.00035020901123061776,19,6904,spfa,
79,8,3,37,17,0.0004404580104164779,19,6176,da2,
79,8,3,92,73,0.0005156249972060323,19,11656,a2,
79,8,3,92,73,0.0007783750188536942,19,8968,lee,
79,8,3,38,18,0.00024183298228308558,20,1928,larbsa,MERGEINTRAIL R:17
79,8,9,43,24,0.00025558401830494404,19,1984,larbsa-pythag,MERGEPOINT R:17
79,8,3,38,19,0.00031037500593811274,19,1920,larbsa-pruned,MERGEDIRECT R:17
79,8,7,46,27,0.0005638750153593719,19,2008,larbsa-pruned-spacing,MERGEDIRECT R:17
79,8,8,60,47,0.0007349999505095184,13,2192,larbsa-8-pruned-spacing,MERGEINTRAIL R:11
