seed,density,numberOfRightAngleTurns,visitSize,visitExcess,duration,pathSize,maxMemory,algorithm,message
60,7,2,36,16,0.0004385829670354724,19,6176,da2,
60,7,1,94,75,0.0005231660325080156,19,11656,a2,
60,7,1,94,75,0.0008055000216700137,19,8968,lee,
60,7,0,37,17,0.0002390409936197102,20,1856,larbsa,MERGEINTRAIL R:17
60,7,11,46,27,0.00026041700039058924,19,2024,larbsa-pythag,MERGEPOINT R:17
60,7,1,37,18,0.00030437501845881343,19,1848,larbsa-pruned,MERGEDIRECT R:17
60,7,5,44,25,0.0005495829973369837,19,2000,larbsa-pruned-spacing,MERGEDIRECT R:17
60,7,9,56,43,0.0006856670370325446,13,2120,larbsa-8-pruned-spacing,MERGEINTRAIL R:11
60,7,3,22,17,0.00015483400784432888,5,1736,rrt,
60,7,9,40,29,0.000567167007829994,11,3080,jps,
60,7,1,94,75,0.00033887499012053013,19,6904,bf,
60,7,5,94,75,0.00034058396704494953,19,6904,spfa,
61,7,2,36,16,0.0004403750062920153,19,6176,da2,
61,7,1,84,65,0.0004752500099129975,19,5744,a2,
61,7,1,93,74,0.0007820839527994394,19,8968,lee,
61,7,0,37,17,0.00023624999448657036,20,1856,larbsa,MERGEINTRAIL R:17
61,7,11,47,28,0.0002607500064186752,19,2048,larbsa-pythag,MERGEPOINT R:17
61,7,1,37,18,0.00030279200291261077,19,1848,larbsa-pruned,MERGEDIRECT R:17
61,7,7,47,28,0.0005890839966014028,19,2048,larbsa-pruned-spacing,MERGEDIRECT R:17
61,7,8,62,49,0.0007873330032452941,13,2288,larbsa-8-pruned-spacing,MERGEDIRECT R:12
61,7,3,55,50,0.0008052079938352108,5,3368,rrt,
61,7,8,36,26,0.0005081669660285115,10,3080,jps,
61,7,1,93,74,0.0006047500064596534,19,6904,bf,
61,7,7,93,74,0.0003311659675091505,19,6904,spfa,
62,7,3,55,35,0.0007534160395152867,19,10040,da2,
62,7,3,83,64,0.0004741669981740415,19,5744,a2,
62,7,3,94,75,0.0008061249973252416,19,8968,lee,
62,7,8,57,31,0.00035141699481755495,26,2792,larbsa,MERGEINTRAIL R:28
62,7,8,54,35,0.00034241599496454,19,2696,larbsa-pythag,MERGEPOINT R:23
62,7,8,57,34,0.0004479170311242342,23,2768,larbsa-pruned,MERGEDIRECT R:28
62,7,6,57,38,0.0007201670086942613,19,2744,larbsa-pruned-spacing,MERGEDIRECT R:24
62,7,9,133,118,0.0016968330019153655,15,6096,larbsa-8-pruned-spacing,MERGEINTRAIL R:40
62,7,1,17,14,0.00010075001046061516,3,920,rrt,
62,7,9,46,35,0.001111124991439283,11,6104,jps,
62,7,3,94,75,0.0008604580070823431,19,6904,bf,
62,7,3,94,75,0.0003337919479236007,19,6904,spfa,
63,7,2,34,14,0.000435416994150728,19,6096,da2,
63,7,1,95,76,0.0005444170092232525,19,11656,a2,
63,7,1,95,76,0.0008195420377887785,19,8968,lee,
63,7,0,35,15,0.00023150001652538776,20,1760,larbsa,MERGEINTRAIL R:17
63,7,11,47,28,0.0002616659621708095,19,2312,larbsa-pythag,MERGEPOINT R:18
63,7,1,35,16,0.0003053750260733068,19,1752,larbsa-pruned,MERGEDIRECT R:17
63,7,9,49,30,0.0005848750006407499,19,2632,larbsa-pruned-spacing,MERGEDIRECT R:19
63,7,8,47,35,0.0005691670230589807,12,1904,larbsa-8-pruned-spacing,MERGEINTRAIL R:10
63,7,2,10,5,5.204201443120837e-05,5,512,rrt,
63,7,9,46,35,0.0008633339894004166,11,5960,jps,
63,7,1,95,76,0.0003468340146355331,19,6904,bf,
63,7,1,95,76,0.00033979100408032537,19,6904,spfa,
64,7,2,35,15,0.00043695903150364757,19,6168,da2,
64,7,1,97,78,0.0005583750316873193,19,11656,a2,
64,7,1,97,78,0.0008360409992747009,19,8968,lee,
64,7,0,36,16,0.00023670797236263752,20,1848,larbsa,MERGEINTRAIL R:17
64,7,9,45,26,0.0002573339734226465,19,2016,larbsa-pythag,MERGEPOINT R:17
