seed,density,numberOfRightAngleTurns,visitSize,visitExcess,duration,pathSize,maxMemory,algorithm,message
251,25,5,41,21,0.000560375046916306,19,7184,da2,
251,25,5,77,58,0.00043587503023445606,19,5680,a2,
251,25,5,78,59,0.0006409170455299318,19,5128,lee,
251,25,11,56,28,0.0004549589939415455,28,2840,larbsa,MERGEINTRAIL R:36
251,25,11,41,22,0.00026116601657122374,19,1968,larbsa-pythag,MERGEPOINT R:17
251,25,9,56,31,0.000523374998010695,25,2800,larbsa-pruned,MERGEDIRECT R:36
251,25,11,72,53,0.000822666974272579,19,2960,larbsa-pruned-spacing,MERGEDIRECT R:39
251,25,8,64,50,0.0006810000049881637,14,2224,larbsa-8-pruned-spacing,MERGEDIRECT R:14
251,25,2,22,18,0.0001818329910747707,4,1736,rrt,
251,25,8,31,21,0.0003810829948633909,10,3080,jps,
251,25,5,78,59,0.0005410420126281679,19,3384,bf,
251,25,6,78,59,0.0003000000142492354,19,3712,spfa,
252,25,4,57,37,0.0007817080477252603,19,10048,da2,
252,25,4,59,40,0.00030958402203395963,19,5744,a2,
252,25,4,82,63,0.0006895000115036964,19,5128,lee,
252,25,6,39,17,0.00026587501633912325,22,2456,larbsa,MERGEINTRAIL R:19
252,25,6,41,20,0.0002589170471765101,21,2464,larbsa-pythag,MERGEPOINT R:19
252,25,6,39,18,0.0003362499992363155,21,2448,larbsa-pruned,MERGEDIRECT R:19
252,25,6,48,29,0.0005290419794619083,19,2600,larbsa-pruned-spacing,MERGEDIRECT R:21
252,25,6,62,46,0.0006902919849380851,16,2272,larbsa-8-pruned-spacing,MERGEDIRECT R:17
252,25,5,55,47,0.0008576660184189677,8,3368,rrt,
252,25,9,35,23,0.0005894590285606682,12,3016,jps,
252,25,4,82,63,0.0007704589515924454,19,3384,bf,
252,25,5,82,63,0.00032416702015325427,19,3712,spfa,
253,25,4,40,20,0.0006649999995715916,19,6072,da2,
253,25,5,77,58,0.00043404201278463006,19,5712,a2,
253,25,5,81,62,0.0006596249877475202,19,5128,lee,
253,25,6,37,15,0.000262749963440001,22,2384,larbsa,MERGEINTRAIL R:19
253,25,9,39,20,0.0002602499444037676,19,2224,larbsa-pythag,MERGEPOINT R:18
