seed,density,numberOfRightAngleTurns,visitSize,visitExcess,duration,pathSize,maxMemory,algorithm,message
174,18,8,48,26,0.0006547499797306955,21,8920,da2,
174,18,7,80,61,0.0004334159893915057,19,5744,a2,
174,18,7,85,66,0.0007040000054985285,19,5128,lee,
174,18,7,40,20,0.00024337501963600516,20,1952,larbsa,MERGEINTRAIL R:17
174,18,11,44,25,0.00026391702704131603,19,2000,larbsa-pythag,MERGEPOINT R:17
174,18,7,40,21,0.00031604099785909057,19,1944,larbsa-pruned,MERGEDIRECT R:17
174,18,9,43,24,0.0005111669888719916,19,1992,larbsa-pruned-spacing,MERGEDIRECT R:17
174,18,10,58,45,0.0006192079745233059,13,2136,larbsa-8-pruned-spacing,MERGEDIRECT R:12
174,18,6,22,13,0.00014899997040629387,9,1736,rrt,
174,18,9,48,37,0.0011016249773092568,11,5936,jps,
174,18,7,87,68,0.025307542004156858,19,6904,bf,
174,18,5,87,68,0.0003441249718889594,19,6904,spfa,
175,18,7,38,18,0.0005632080137729645,19,6056,da2,
175,18,7,77,58,0.0004154579946771264,19,5744,a2,
175,18,7,82,63,0.0006863749586045742,19,5128,lee,
175,18,7,59,39,0.00041366700315847993,20,2856,larbsa,MERGEINTRAIL R:35
175,18,9,40,21,0.00025937502505257726,19,1896,larbsa-pythag,MERGEPOINT R:17
175,18,7,59,40,0.0005050830077379942,19,2848,larbsa-pruned,MERGEDIRECT R:35
175,18,5,67,48,0.0008459999808110297,19,2944,larbsa-pruned-spacing,MERGEDIRECT R:37
175,18,9,66,53,0.0007802080363035202,13,2672,larbsa-8-pruned-spacing,MERGEDIRECT R:18
175,18,3,43,38,0.0007743330206722021,5,3368,rrt,
175,18,8,57,45,0.0016109169810079038,12,5872,jps,
175,18,7,82,63,0.0007756659761071205,19,3384,bf,
175,18,3,82,63,0.00031404197216033936,19,3712,spfa,
176,18,5,39,19,0.00046895898412913084,19,7200,da2,
176,18,5,87,68,0.0004807499935850501,19,11752,a2,
176,18,5,87,68,0.0007322910241782665,19,8968,lee,
176,18,5,39,19,0.00024808297166600823,20,1912,larbsa,MERGEINTRAIL R:17
176,18,11,40,21,0.0002530419733375311,19,1904,larbsa-pythag,MERGEPOINT R:17
176,18,5,39,20,0.00031491596018895507,19,1904,larbsa-pruned,MERGEDIRECT R:17
176,18,9,50,31,0.000593916978687048,19,2648,larbsa-pruned-spacing,MERGEDIRECT R:21
176,18,9,54,42,0.0005612079985439777,12,2120,larbsa-8-pruned-spacing,MERGEINTRAIL R:11
176,18,3,51,46,0.0006843330338597298,5,3368,rrt,
176,18,9,47,36,0.0009532920084893703,11,5840,jps,
176,18,5,87,68,0.0003190419520251453,19,6904,bf,
176,18,1,87,68,0.00032887497218325734,19,6904,spfa,
177,18,9,35,15,0.0006183329969644547,19,5968,da2,
177,18,9,82,63,0.00046087498776614666,19,5712,a2,
177,18,9,84,65,0.0006738750380463898,19,5128,lee,
177,18,10,48,26,0.0003316249931231141,22,2640,larbsa,MERGEINTRAIL R:27
177,18,13,36,17,0.00024441699497401714,19,1840,larbsa-pythag,MERGEPOINT R:17
177,18,11,48,27,0.00041325000347569585,21,2632,larbsa-pruned,MERGEINTRAIL R:27
177,18,11,38,19,0.00042999995639547706,19,1920,larbsa-pruned-spacing,MERGEDIRECT R:17
177,18,9,45,32,0.0004801250179298222,13,1856,larbsa-8-pruned-spacing,MERGEDIRECT R:13
177,18,4,70,64,0.0019379999721422791,6,3368,rrt,
177,18,9,38,27,0.0005594170070253313,11,3016,jps,
177,18,9,84,65,0.000584541994612664,19,3384,bf,
177,18,3,84,65,0.0003191250143572688,19,3712,spfa,
178,18,0,31,11,0.00045075005618855357,19,6000,da2,
178,18,1,86,67,0.0005369579885154963,19,11624,a2,
178,18,1,86,67,0.0007152080070227385,19,8968,lee,
