seed,density,numberOfRightAngleTurns,visitSize,visitExcess,duration,pathSize,maxMemory,algorithm,message
230,23,6,50,28,0.0008682089974172413,21,10008,da2,
230,23,7,69,50,0.0003796670353040099,19,5712,a2,
230,23,7,84,65,0.0007039160118438303,19,5128,lee,
230,23,9,44,20,0.0003107499796897173,24,2560,larbsa,MERGEDIRECT R:22
230,23,8,52,31,0.0003673749743029475,21,2672,larbsa-pythag,MERGEPOINT R:27
230,23,7,44,23,0.00037470797542482615,21,2520,larbsa-pruned,MERGEDIRECT R:22
230,23,7,44,23,0.0005030829925090075,21,2520,larbsa-pruned-spacing,MERGEDIRECT R:22
230,23,8,82,67,0.000844834023155272,15,3120,larbsa-8-pruned-spacing,MERGEINTRAIL R:34
230,23,4,36,30,0.00043716694926843047,6,1736,rrt,
230,23,9,36,25,0.00045658298768103123,11,3016,jps,
230,23,7,84,65,0.0008116660173982382,19,3384,bf,
230,23,4,84,65,0.00031841598683968186,19,3712,spfa,
231,23,7,49,29,0.0006386659806594253,19,10056,da2,
231,23,7,75,56,0.00039616605499759316,19,5744,a2,
231,23,7,81,62,0.0006898340070620179,19,5128,lee,
231,23,7,39,19,0.0002507499884814024,20,1888,larbsa,MERGEINTRAIL R:17
231,23,9,51,32,0.000300083018373698,19,2624,larbsa-pythag,MERGEPOINT R:21
231,23,7,39,20,0.000320332997944206,19,1880,larbsa-pruned,MERGEDIRECT R:17
231,23,11,50,29,0.0005697919987142086,21,2656,larbsa-pruned-spacing,MERGEDIRECT R:19
231,23,9,84,69,0.0009458339773118496,15,3216,larbsa-8-pruned-spacing,MERGEDIRECT R:21
231,23,1,29,26,0.00028087495593354106,3,1736,rrt,
231,23,8,33,23,0.0004313749959692359,10,3016,jps,
231,23,7,84,65,0.02470687497407198,19,3384,bf,
231,23,7,84,65,0.0003160000196658075,19,3712,spfa,
232,23,9,39,19,0.0005703339702449739,19,7168,da2,
232,23,9,62,43,0.00033066695323213935,19,5712,a2,
232,23,9,78,59,0.0006452919915318489,19,5128,lee,
232,23,8,38,18,0.00024687498807907104,20,1928,larbsa,MERGEINTRAIL R:17
232,23,11,40,21,0.00025516696041449904,19,1896,larbsa-pythag,MERGEPOINT R:17
232,23,9,38,19,0.0003191250143572688,19,1920,larbsa-pruned,MERGEDIRECT R:17
232,23,9,38,19,0.00045416702050715685,19,1920,larbsa-pruned-spacing,MERGEDIRECT R:17
232,23,8,45,33,0.0005199169972911477,12,1840,larbsa-8-pruned-spacing,MERGEDIRECT R:12
232,23,2,72,66,0.003394625033251941,6,3368,rrt,
232,23,9,40,29,0.0006763329729437828,11,2984,jps,
232,23,9,80,61,0.0226451670168899,19,3384,bf,
232,23,9,80,61,0.0003205409739166498,19,3712,spfa,
233,23,8,40,20,0.0006326250149868429,19,6072,da2,
233,23,8,61,42,0.00032304198248311877,19,5712,a2,
233,23,8,79,60,0.0006604170193895698,19,5128,lee,
233,23,8,47,27,0.00032887497218325734,20,2552,larbsa,MERGEINTRAIL R:25
233,23,10,41,22,0.0002470830222591758,19,1864,larbsa-pythag,MERGEPOINT R:17
233,23,8,47,28,0.0003885829937644303,19,2544,larbsa-pruned,MERGEDIRECT R:25
233,23,10,40,21,0.00046841701259836555,19,1864,larbsa-pruned-spacing,MERGEDIRECT R:17
233,23,10,43,31,0.0005235830321907997,12,1744,larbsa-8-pruned-spacing,MERGEINTRAIL R:11
233,23,3,32,26,0.00031958299223333597,6,1736,rrt,
