seed,density,numberOfRightAngleTurns,visitSize,visitExcess,duration,pathSize,maxMemory,algorithm,message
20,3,2,36,16,0.00044433301081880927,19,6176,da2,
20,3,1,100,81,0.0005825839471071959,19,11688,a2,
20,3,1,100,81,0.0008873750339262187,19,8968,lee,
20,3,0,37,17,0.00024150003446266055,20,1856,larbsa,MERGEINTRAIL R:17
20,3,11,49,30,0.0002640410093590617,19,2064,larbsa-pythag,MERGEPOINT R:17
20,3,1,37,18,0.00030570797389373183,19,1848,larbsa-pruned,MERGEDIRECT R:17
20,3,5,50,31,0.0006315830396488309,19,2072,larbsa-pruned-spacing,MERGEDIRECT R:17
20,3,8,51,41,0.0007221669657155871,10,1872,larbsa-8-pruned-spacing,MERGEINTRAIL R:8
20,3,1,61,57,0.000991332984995097,4,3368,rrt,
20,3,8,41,31,0.0007290830253623426,10,3080,jps,
20,3,1,100,81,0.0003743339912034571,19,6904,bf,
20,3,1,100,81,0.0003614160232245922,19,6904,spfa,
21,3,2,36,16,0.0004413750139065087,19,6176,da2,
21,3,1,98,79,0.0005706250085495412,19,11688,a2,
21,3,1,98,79,0.000846999988425523,19,8968,lee,
21,3,0,37,17,0.00024033401859924197,20,1856,larbsa,MERGEINTRAIL R:17
21,3,11,49,30,0.00027641700580716133,19,2352,larbsa-pythag,MERGEPOINT R:18
21,3,1,37,18,0.00031320902053266764,19,1848,larbsa-pruned,MERGEDIRECT R:17
21,3,9,50,31,0.0006295839557424188,19,2072,larbsa-pruned-spacing,MERGEDIRECT R:17
21,3,8,51,41,0.000700709002558142,10,1872,larbsa-8-pruned-spacing,MERGEINTRAIL R:8
21,3,4,83,76,0.0027551670209504664,7,3368,rrt,
21,3,8,39,29,0.0006628749542869627,10,3080,jps,
21,3,1,98,79,0.00036979204742237926,19,6904,bf,
21,3,1,98,79,0.0003565409570001066,19,6904,spfa,
22,3,2,35,15,0.00043766701128333807,19,6160,da2,
22,3,3,97,78,0.000566790986340493,19,11656,a2,
22,3,3,97,78,0.0008570000063627958,19,8968,lee,
22,3,2,36,16,0.00024058297276496887,20,1776,larbsa,MERGEINTRAIL R:17
22,3,11,50,31,0.0002764579840004444,19,2352,larbsa-pythag,MERGEPOINT R:18
22,3,3,36,17,0.00030395801877602935,19,1768,larbsa-pruned,MERGEDIRECT R:17
22,3,5,50,31,0.0006333750206977129,19,2072,larbsa-pruned-spacing,MERGEDIRECT R:17
22,3,7,68,56,0.0008595419931225479,12,2368,larbsa-8-pruned-spacing,MERGEDIRECT R:11
22,3,4,79,72,0.002421375014819205,7,3368,rrt,
22,3,8,39,29,0.0005855420022271574,10,3080,jps,
22,3,3,97,78,0.0003637080080807209,19,6904,bf,
22,3,1,97,78,0.00034916697768494487,19,6904,spfa,
23,3,2,35,15,0.00043691700557246804,19,6160,da2,
23,3,3,97,78,0.0005630410159938037,19,11656,a2,
23,3,3,97,78,0.0008598329732194543,19,8968,lee,
23,3,2,36,16,0.00024220801424235106,20,1776,larbsa,MERGEINTRAIL R:17
23,3,11,48,29,0.0002650409587658942,19,2056,larbsa-pythag,MERGEPOINT R:17
23,3,3,36,17,0.0003037499845959246,19,1768,larbsa-pruned,MERGEDIRECT R:17
23,3,7,50,31,0.0005990409990772605,19,2072,larbsa-pruned-spacing,MERGEDIRECT R:17
23,3,9,58,47,0.0007645410369150341,11,2184,larbsa-8-pruned-spacing,MERGEINTRAIL R:9
23,3,0,1,0,1.433398574590683e-05,2,240,rrt,
23,3,8,38,28,0.0006452499656006694,10,3080,jps,
23,3,3,97,78,0.00036470801569521427,19,6904,bf,
23,3,1,97,78,0.0003748330054804683,19,6904,spfa,
24,3,3,40,20,0.0004467919934540987,19,7272,da2,
24,3,3,98,79,0.0005722919595427811,19,11688,a2,
24,3,3,98,79,0.0008606669725850224,19,8968,lee,
24,3,3,40,20,0.0002462079864926636,20,1944,larbsa,MERGEINTRAIL R:17
24,3,11,48,29,0.000271082972176373,19,2336,larbsa-pythag,MERGEPOINT R:18
24,3,3,40,21,0.0003147500101476908,19,1936,larbsa-pruned,MERGEDIRECT R:17
24,3,5,50,31,0.0006262499955482781,19,2072,larbsa-pruned-spacing,MERGEDIRECT R:17
24,3,7,68,56,0.0008468329906463623,12,2368,larbsa-8-pruned-spacing,MERGEDIRECT R:11
24,3,2,83,79,0.0027121250168420374,4,3368,rrt,
24,3,8,38,28,0.0006374999647960067,10,3080,jps,
24,3,3,98,79,0.0003678330103866756,19,6904,bf,
24,3,1,98,79,0.00035854201996698976,19,6904,spfa,
25,3,2,36,16,0.0004433749709278345,19,6176,da2,
25,3,1,98,79,0.0005557080148719251,19,11688,a2,
25,3,1,98,79,0.0008509170147590339,19,8968,lee,
25,3,0,37,17,0.00024283397942781448,20,1856,larbsa,MERGEINTRAIL R:17
25,3,11,47,28,0.0002644579508341849,19,2032,larbsa-pythag,MERGEPOINT R:17
25,3,1,37,18,0.00030587497167289257,19,1848,larbsa-pruned,MERGEDIRECT R:17
25,3,5,50,31,0.0006177090108394623,19,2072,larbsa-pruned-spacing,MERGEDIRECT R:17
25,3,8,61,49,0.0008049160242080688,12,2200,larbsa-8-pruned-spacing,MERGEDIRECT R:10
25,3,4,56,50,0.0007348749786615372,6,3368,rrt,
25,3,8,39,29,0.0005993330269120634,10,3080,jps,
25,3,1,98,79,0.0003606670070439577,19,6904,bf,
25,3,3,98,79,0.00035333295818418264,19,6904,spfa,
26,3,2,35,15,0.0004362500039860606,19,6168,da2,
26,3,1,98,79,0.0005807079724036157,19,11688,a2,
26,3,1,98,79,0.0008584579918533564,19,8968,lee,
26,3,0,36,16,0.0002395000192336738,20,1848,larbsa,MERGEINTRAIL R:17
26,3,11,55,36,0.0003041250165551901,19,2720,larbsa-pythag,MERGEPOINT R:20
26,3,1,36,17,0.00030616699950769544,19,1840,larbsa-pruned,MERGEDIRECT R:17
26,3,5,48,29,0.0005844169645570219,19,2056,larbsa-pruned-spacing,MERGEDIRECT R:17
26,3,9,52,41,0.0007201250409707427,11,2072,larbsa-8-pruned-spacing,MERGEINTRAIL R:9
26,3,3,55,49,0.0006762919947504997,6,3368,rrt,
26,3,8,38,28,0.0006752909976057708,10,3080,jps,
26,3,1,98,79,0.00036091700894758105,19,6904,bf,
26,3,2,98,79,0.0003464579931460321,19,6904,spfa,
27,3,2,36,16,0.0004355839919298887,19,6176,da2,
27,3,1,98,79,0.0005661670002155006,19,11656,a2,
27,3,1,98,79,0.0008430000161752105,19,8968,lee,
27,3,0,37,17,0.0002399589866399765,20,1856,larbsa,MERGEINTRAIL R:17
27,3,11,49,30,0.0002625840133987367,19,2064,larbsa-pythag,MERGEPOINT R:17
27,3,1,37,18,0.00030404195422306657,19,1848,larbsa-pruned,MERGEDIRECT R:17
27,3,5,50,31,0.0006165000377222896,19,2072,larbsa-pruned-spacing,MERGEDIRECT R:17
27,3,8,64,51,0.0008496249793097377,13,2272,larbsa-8-pruned-spacing,MERGEINTRAIL R:11
27,3,2,51,46,0.0006809170008637011,5,3368,rrt,
27,3,9,52,41,0.0016380419838242233,11,5936,jps,
27,3,1,98,79,0.00038050004513934255,19,6904,bf,
27,3,1,98,79,0.00036466598976403475,19,6904,spfa,
28,3,2,41,21,0.0004724580212496221,19,7280,da2,
28,3,2,97,78,0.0005835830233991146,19,11656,a2,
28,3,2,97,78,0.0008609160431660712,19,8968,lee,
28,3,2,40,20,0.00024170801043510437,20,1872,larbsa,MERGEINTRAIL R:17
28,3,12,44,25,0.00026170798810198903,19,1992,larbsa-pythag,MERGEPOINT R:17
28,3,2,40,21,0.00030754104955121875,19,1864,larbsa-pruned,MERGEDIRECT R:17
28,3,6,43,24,0.000590000010561198,19,1976,larbsa-pruned-spacing,MERGEDIRECT R:17
28,3,9,59,47,0.0007744169561192393,12,2208,larbsa-8-pruned-spacing,MERGEDIRECT R:11
28,3,6,42,34,0.0003937920555472374,8,1736,rrt,
28,3,8,38,28,0.0005873340414837003,10,3080,jps,
28,3,2,97,78,0.0003584579681046307,19,6904,bf,
28,3,1,97,78,0.0003500410239212215,19,6904,spfa,
29,3,3,39,19,0.00044350000098347664,19,6192,da2,
29,3,3,97,78,0.0005542919971048832,19,11688,a2,
29,3,3,97,78,0.0008359590428881347,19,8968,lee,
