seed,density,numberOfRightAngleTurns,visitSize,visitExcess,duration,pathSize,maxMemory,algorithm,message
121,13,2,34,14,0.0004389589885249734,19,6160,da2,
121,13,1,90,71,0.0004848749958910048,19,11688,a2,
121,13,1,90,71,0.0007523749954998493,19,8968,lee,
121,13,0,35,15,0.00023491698084399104,20,1768,larbsa,MERGEINTRAIL R:17
121,13,11,42,23,0.00025479099713265896,19,1984,larbsa-pythag,MERGEPOINT R:17
121,13,1,35,16,0.0002988330088555813,19,1760,larbsa-pruned,MERGEDIRECT R:17
121,13,3,39,20,0.0004605000140145421,19,1856,larbsa-pruned-spacing,MERGEDIRECT R:17
121,13,9,45,34,0.0004959999932907522,11,1928,larbsa-8-pruned-spacing,MERGEINTRAIL R:9
121,13,5,68,61,0.0018949160003103316,7,3368,rrt,
121,13,8,33,23,0.00047370902029797435,10,3080,jps,
121,13,1,90,71,0.00032441597431898117,19,6904,bf,
121,13,4,90,71,0.0003225840046070516,19,6904,spfa,
122,13,2,34,14,0.00043833302333950996,19,6160,da2,
122,13,1,89,70,0.0005102499853819609,19,11656,a2,
122,13,1,89,70,0.0007411250262521207,19,8968,lee,
122,13,0,35,15,0.00023679202422499657,20,1768,larbsa,MERGEINTRAIL R:17
122,13,11,47,28,0.0002895829966291785,19,2328,larbsa-pythag,MERGEPOINT R:18
122,13,1,35,16,0.0003035419504158199,19,1760,larbsa-pruned,MERGEDIRECT R:17
122,13,9,53,30,0.0005890839966014028,23,2808,larbsa-pruned-spacing,MERGEDIRECT R:21
122,13,10,60,47,0.0006357079837471247,13,2248,larbsa-8-pruned-spacing,MERGEDIRECT R:12
122,13,3,56,51,0.0008570000063627958,5,3368,rrt,
122,13,9,46,35,0.000816625019069761,11,5872,jps,
122,13,1,89,70,0.0003246660344302654,19,6904,bf,
122,13,7,89,70,0.00031887501245364547,19,6904,spfa,
123,13,5,48,28,0.0007724169990979135,19,9944,da2,
123,13,5,82,63,0.0004485839745029807,19,5744,a2,
123,13,5,87,68,0.0007211659685708582,19,8968,lee,
123,13,5,49,27,0.00032391701824963093,22,2640,larbsa,MERGEINTRAIL R:25
123,13,13,43,24,0.0002506670425646007,19,1984,larbsa-pythag,MERGEPOINT R:17
123,13,6,49,28,0.00040249997982755303,21,2632,larbsa-pruned,MERGEDIRECT R:25
123,13,6,53,34,0.0006324999849312007,19,2648,larbsa-pruned-spacing,MERGEDIRECT R:25
123,13,9,51,39,0.0006410829955711961,12,2000,larbsa-8-pruned-spacing,MERGEDIRECT R:11
123,13,3,28,22,0.00023841700749471784,6,1736,rrt,
123,13,9,47,36,0.0008319159969687462,11,5872,jps,
123,13,5,87,68,0.0011102499556727707,19,6904,bf,
123,13,1,87,68,0.00032708299113437533,19,6904,spfa,
124,13,8,44,24,0.0007599170203320682,19,8872,da2,
124,13,9,82,63,0.0005172499804757535,19,5744,a2,
124,13,9,87,68,0.0008243749616667628,19,8968,lee,
124,13,9,39,19,0.000252292025834322,20,1944,larbsa,MERGEINTRAIL R:17
124,13,11,41,22,0.0002523750299587846,19,1960,larbsa-pythag,MERGEPOINT R:17
124,13,9,39,20,0.00031766603933647275,19,1936,larbsa-pruned,MERGEDIRECT R:17
124,13,9,45,26,0.0005172910168766975,19,2000,larbsa-pruned-spacing,MERGEDIRECT R:17
124,13,7,73,60,0.0007672079955227673,13,2472,larbsa-8-pruned-spacing,MERGEINTRAIL R:16
124,13,1,47,43,0.0005713329883292317,4,3368,rrt,
124,13,9,50,39,0.0011090830084867775,11,5904,jps,
124,13,9,87,68,0.0008424170082435012,19,6904,bf,
124,13,3,87,68,0.0003269159933552146,19,6904,spfa,
125,13,2,39,19,0.00046808301704004407,19,7264,da2,
125,13,2,91,72,0.00047054095193743706,19,11752,a2,
125,13,2,91,72,0.0007648750324733555,19,8968,lee,
125,13,2,39,19,0.00024870800552889705,20,1896,larbsa,MERGEINTRAIL R:17
125,13,10,40,21,0.00025104201631620526,19,1864,larbsa-pythag,MERGEPOINT R:17
125,13,2,39,20,0.0003105839714407921,19,1888,larbsa-pruned,MERGEDIRECT R:17
125,13,8,42,23,0.0005099169793538749,19,1976,larbsa-pruned-spacing,MERGEDIRECT R:17
125,13,9,64,51,0.0007642499986104667,13,2256,larbsa-8-pruned-spacing,MERGEDIRECT R:15
125,13,4,41,33,0.00042279099579900503,8,1736,rrt,
125,13,9,48,37,0.0009440419962629676,11,5840,jps,
125,13,2,91,72,0.00034137500915676355,19,6904,bf,
125,13,5,91,72,0.0003315829671919346,19,6904,spfa,
126,13,2,35,15,0.00043050001841038465,19,6168,da2,
126,13,1,90,71,0.0005194589612074196,19,11688,a2,
126,13,1,90,71,0.0007443749927915633,19,8968,lee,
126,13,0,36,16,0.00023604201851412654,20,1848,larbsa,MERGEINTRAIL R:17
126,13,13,45,26,0.0002680419711396098,19,2312,larbsa-pythag,MERGEPOINT R:18
126,13,1,36,17,0.000304749992210418,19,1840,larbsa-pruned,MERGEDIRECT R:17
126,13,3,42,23,0.000475957989692688,19,1936,larbsa-pruned-spacing,MERGEDIRECT R:17
126,13,9,52,39,0.0005454170168377459,13,2024,larbsa-8-pruned-spacing,MERGEINTRAIL R:11
126,13,6,71,62,0.00201645796187222,9,3368,rrt,
126,13,9,48,37,0.0008496250375173986,11,5840,jps,
126,13,1,90,71,0.0003388329641893506,19,6904,bf,
126,13,3,90,71,0.00033000000985339284,19,6904,spfa,
127,13,5,40,20,0.0006066659698262811,19,6144,da2,
127,13,5,78,59,0.0004046250251121819,19,5744,a2,
127,13,5,88,69,0.0007301250007003546,19,8968,lee,
127,13,5,33,13,0.00024041702272370458,20,1736,larbsa,MERGEINTRAIL R:17
127,13,9,47,28,0.0002963750157505274,19,2584,larbsa-pythag,MERGEPOINT R:21
127,13,5,33,14,0.00030858302488923073,19,1728,larbsa-pruned,MERGEDIRECT R:17
127,13,7,50,31,0.0005740000051446259,19,2656,larbsa-pruned-spacing,MERGEDIRECT R:21
127,13,9,57,44,0.0006413329974748194,13,2048,larbsa-8-pruned-spacing,MERGEINTRAIL R:12
127,13,2,19,14,0.00014545803423970938,5,920,rrt,
127,13,9,36,25,0.0004930839641019702,11,3016,jps,
127,13,5,88,69,0.0008461670367978513,19,6904,bf,
127,13,4,88,69,0.0003274159971624613,19,6904,spfa,
128,13,3,38,18,0.00043987500248476863,19,6184,da2,
128,13,3,81,62,0.0003974999999627471,19,5744,a2,
128,13,3,90,71,0.0007522499654442072,19,8968,lee,
128,13,3,38,18,0.00023787497775629163,20,1880,larbsa,MERGEINTRAIL R:17
128,13,15,68,45,0.000364875013474375,23,3016,larbsa-pythag,MERGEPOINT R:28
128,13,3,38,19,0.0003032080130651593,19,1872,larbsa-pruned,MERGEDIRECT R:17
128,13,9,47,26,0.0005513749783858657,21,2616,larbsa-pruned-spacing,MERGEDIRECT R:19
128,13,13,99,82,0.0011599170393310487,17,3584,larbsa-8-pruned-spacing,MERGEDIRECT R:29
128,13,4,60,53,0.000946542015299201,7,3368,rrt,
128,13,8,32,22,0.00047516601625829935,10,3080,jps,
128,13,3,90,71,0.0005972919752821326,19,6904,bf,
128,13,9,90,71,0.00033529195934534073,19,6904,spfa,
129,13,3,37,17,0.0004388340166769922,19,6112,da2,
129,13,3,78,59,0.00042995804687961936,19,5680,a2,
129,13,3,89,70,0.0007399580208584666,19,8968,lee,
129,13,3,36,16,0.0002411670284345746,20,1832,larbsa,MERGEINTRAIL R:17
129,13,11,43,24,0.0002613749820739031,19,1992,larbsa-pythag,MERGEPOINT R:17
129,13,3,36,17,0.0003064580378122628,19,1824,larbsa-pruned,MERGEDIRECT R:17
