seed,density,numberOfRightAngleTurns,visitSize,visitExcess,duration,pathSize,maxMemory,algorithm,message
131,14,7,41,21,0.00048629200318828225,19,7280,da2,
131,14,7,83,64,0.00044558296212926507,19,5744,a2,
131,14,7,88,69,0.0007306250045076013,19,8968,lee,
131,14,6,43,23,0.00024741701781749725,20,1992,larbsa,MERGEINTRAIL R:17
131,14,13,47,28,0.0002602080348879099,19,2320,larbsa-pythag,MERGEPOINT R:18
131,14,7,43,24,0.00031279196264222264,19,1984,larbsa-pruned,MERGEDIRECT R:17
131,14,5,47,28,0.0005464169662445784,19,2032,larbsa-pruned-spacing,MERGEDIRECT R:17
131,14,9,67,54,0.0007730830111540854,13,2312,larbsa-8-pruned-spacing,MERGEDIRECT R:14
131,14,4,68,61,0.0012459169956855476,7,3368,rrt,
131,14,9,48,37,0.0009173749713227153,11,5872,jps,
131,14,7,88,69,0.0008337079780176282,19,6904,bf,
131,14,1,88,69,0.00032058299984782934,19,6904,spfa,
132,14,2,35,15,0.0004416249576024711,19,6168,da2,
132,14,1,78,59,0.00043112499406561255,19,5712,a2,
132,14,1,88,69,0.0007164159906096756,19,8968,lee,
132,14,0,36,16,0.0002382500097155571,20,1848,larbsa,MERGEINTRAIL R:17
132,14,13,46,27,0.0002704579965211451,19,2040,larbsa-pythag,MERGEPOINT R:17
132,14,1,36,17,0.0003044160548597574,19,1840,larbsa-pruned,MERGEDIRECT R:17
132,14,5,46,27,0.0005544170271605253,19,2032,larbsa-pruned-spacing,MERGEDIRECT R:17
132,14,9,57,44,0.000669625005684793,13,2160,larbsa-8-pruned-spacing,MERGEINTRAIL R:11
132,14,2,33,29,0.0003050409723073244,4,1736,rrt,
132,14,8,34,24,0.00046929100062698126,10,3080,jps,
132,14,1,88,69,0.0005916660302318633,19,6904,bf,
132,14,8,88,69,0.0003273750189691782,19,6904,spfa,
133,14,7,49,29,0.0005797910271212459,19,8976,da2,
133,14,7,77,58,0.0003897499991580844,19,5808,a2,
133,14,7,88,69,0.0007299170247279108,19,8968,lee,
133,14,7,39,19,0.0002435420174151659,20,1936,larbsa,MERGEINTRAIL R:17
133,14,13,42,23,0.0002540420391596854,19,2248,larbsa-pythag,MERGEPOINT R:18
133,14,7,39,20,0.0003088340163230896,19,1928,larbsa-pruned,MERGEDIRECT R:17
133,14,9,48,29,0.0005456670187413692,19,2616,larbsa-pruned-spacing,MERGEDIRECT R:19
133,14,9,60,47,0.000642166007310152,13,2176,larbsa-8-pruned-spacing,MERGEDIRECT R:15
133,14,1,88,83,0.009061207994818687,5,6888,rrt,
133,14,9,42,31,0.0007234580116346478,11,4744,jps,
133,14,7,88,69,0.0005776669713668525,19,6904,bf,
133,14,5,88,69,0.0003238749923184514,19,6904,spfa,
134,14,2,32,12,0.00043654098408296704,19,6080,da2,
134,14,1,88,69,0.0006242080125957727,19,11624,a2,
134,14,1,90,71,0.0007446659728884697,19,8968,lee,
134,14,0,33,13,0.0002405419945716858,20,1752,larbsa,MERGEINTRAIL R:17
134,14,11,43,24,0.00026175001403316855,19,2000,larbsa-pythag,MERGEPOINT R:17
134,14,1,33,14,0.000303666980471462,19,1744,larbsa-pruned,MERGEDIRECT R:17
134,14,9,45,26,0.0005919589893892407,19,2032,larbsa-pruned-spacing,MERGEDIRECT R:17
134,14,7,55,42,0.000743500015232712,13,2184,larbsa-8-pruned-spacing,MERGEDIRECT R:11
134,14,0,1,0,2.1709012798964977e-05,2,240,rrt,
134,14,8,33,23,0.0005862080142833292,10,3080,jps,
134,14,1,90,71,0.0006064580520614982,19,6904,bf,
134,14,6,90,71,0.00033137499121949077,19,6904,spfa,
