seed,density,numberOfRightAngleTurns,visitSize,visitExcess,duration,pathSize,maxMemory,algorithm,message
186,19,6,32,12,0.0004940839717164636,19,6016,da2,
186,19,7,76,57,0.00042954098898917437,19,5744,a2,
186,19,7,84,65,0.0006986249936744571,19,5128,lee,
186,19,6,32,12,0.00023375003365799785,20,1720,larbsa,MERGEINTRAIL R:17
186,19,9,40,21,0.00025879195891320705,19,2232,larbsa-pythag,MERGEPOINT R:18
186,19,7,32,13,0.00030991598032414913,19,1712,larbsa-pruned,MERGEDIRECT R:17
186,19,5,38,19,0.0004504160024225712,19,1840,larbsa-pruned-spacing,MERGEDIRECT R:17
186,19,9,50,36,0.0005818329518660903,14,1952,larbsa-8-pruned-spacing,MERGEINTRAIL R:12
186,19,3,82,76,0.0033173749689012766,6,3368,rrt,
186,19,9,34,23,0.0004446249804459512,11,2984,jps,
186,19,7,87,68,0.025745749997440726,19,6904,bf,
186,19,2,87,68,0.0003161249915137887,19,6904,spfa,
187,19,3,35,15,0.0004710420034825802,19,6160,da2,
187,19,3,84,65,0.00048812502063810825,19,5712,a2,
187,19,3,84,65,0.0006942080217413604,19,5128,lee,
187,19,3,34,14,0.00026470801094546914,20,1760,larbsa,MERGEINTRAIL R:17
187,19,11,37,18,0.00025891599943861365,19,1872,larbsa-pythag,MERGEPOINT R:17
187,19,3,34,15,0.00030858302488923073,19,1752,larbsa-pruned,MERGEDIRECT R:17
187,19,5,35,16,0.0004395419964566827,19,1832,larbsa-pruned-spacing,MERGEDIRECT R:17
187,19,9,46,34,0.0005283750360831618,12,1944,larbsa-8-pruned-spacing,MERGEINTRAIL R:11
187,19,5,59,52,0.0015457909903489053,7,3368,rrt,
187,19,9,39,28,0.0007545829867012799,11,3016,jps,
187,19,3,84,65,0.00032008299604058266,19,3384,bf,
187,19,6,84,65,0.00031104200752452016,19,3712,spfa,
188,19,5,40,20,0.0005013329791836441,19,7272,da2,
188,19,5,71,52,0.00036283303052186966,19,5744,a2,
188,19,5,83,64,0.0006859579589217901,19,5128,lee,
188,19,5,35,15,0.0002376670017838478,20,1768,larbsa,MERGEINTRAIL R:17
188,19,11,39,20,0.00024554203264415264,19,1848,larbsa-pythag,MERGEPOINT R:17
188,19,5,35,16,0.00030629197135567665,19,1760,larbsa-pruned,MERGEDIRECT R:17
188,19,11,39,20,0.0004676659591495991,19,1856,larbsa-pruned-spacing,MERGEDIRECT R:17
188,19,7,50,37,0.000541041954420507,13,1936,larbsa-8-pruned-spacing,MERGEDIRECT R:13
188,19,2,63,59,0.001503916981164366,4,3368,rrt,
188,19,9,39,28,0.0006641250220127404,11,3016,jps,
188,19,5,83,64,0.0007944580283947289,19,3384,bf,
188,19,8,83,64,0.00031520897755399346,19,3712,spfa,
189,19,3,34,14,0.00043812498915940523,19,6088,da2,
189,19,3,82,63,0.00045312504516914487,19,5680,a2,
189,19,3,84,65,0.0006962920306250453,19,5128,lee,
189,19,3,35,15,0.00023795798188075423,20,1840,larbsa,MERGEINTRAIL R:17
189,19,11,42,23,0.0002582090091891587,19,1984,larbsa-pythag,MERGEPOINT R:17
189,19,3,35,16,0.00030479097040370107,19,1832,larbsa-pruned,MERGEDIRECT R:17
189,19,7,49,30,0.0005627089994959533,19,2648,larbsa-pruned-spacing,MERGEDIRECT R:19
189,19,7,62,47,0.0007785420166328549,15,2272,larbsa-8-pruned-spacing,MERGEDIRECT R:13
189,19,2,56,52,0.0009318329975940287,4,3368,rrt,
189,19,9,49,38,0.001033750013448298,11,5920,jps,
189,19,3,85,66,0.024435375002212822,19,3384,bf,
189,19,5,85,66,0.0003167089889757335,19,3712,spfa,
190,19,4,36,16,0.000529541983269155,19,6112,da2,
190,19,5,78,59,0.0004291249788366258,19,5744,a2,
190,19,5,82,63,0.000665334053337574,19,5128,lee,
190,19,7,47,27,0.0003080409951508045,20,2544,larbsa,MERGEINTRAIL R:24
190,19,9,39,20,0.0002582090091891587,19,1936,larbsa-pythag,MERGEPOINT R:17
190,19,7,47,28,0.0003933749976567924,19,2536,larbsa-pruned,MERGEDIRECT R:24
190,19,7,37,18,0.0004319580039009452,19,1832,larbsa-pruned-spacing,MERGEDIRECT R:17
190,19,10,65,49,0.0007092079613357782,16,2280,larbsa-8-pruned-spacing,MERGEINTRAIL R:17
190,19,2,71,65,0.0024673339794389904,6,3368,rrt,
190,19,9,42,31,0.0006583340000361204,11,4744,jps,
190,19,5,83,64,0.0007898329640738666,19,3384,bf,
190,19,6,83,64,0.0003189169801771641,19,3712,spfa,
191,19,3,35,15,0.0006259159999899566,19,6032,da2,
191,19,3,86,67,0.0004646670422516763,19,11688,a2,
191,19,3,86,67,0.0007307500345632434,19,8968,lee,
191,19,3,37,17,0.0002488750033080578,20,1864,larbsa,MERGEINTRAIL R:17
191,19,11,38,19,0.0002768330159597099,19,1864,larbsa-pythag,MERGEPOINT R:17
191,19,3,37,18,0.0003141250344924629,19,1856,larbsa-pruned,MERGEDIRECT R:17
191,19,5,41,22,0.0004744590260088444,19,1968,larbsa-pruned-spacing,MERGEDIRECT R:17
191,19,9,50,36,0.0005840419908054173,14,1984,larbsa-8-pruned-spacing,MERGEDIRECT R:14
191,19,2,37,32,0.00047854200238361955,5,1736,rrt,
191,19,9,38,27,0.0005032499902881682,11,3016,jps,
191,19,3,86,67,0.0003182920045219362,19,6904,bf,
191,19,2,86,67,0.0003119169850833714,19,6904,spfa,
192,19,2,35,15,0.0004405409563332796,19,6168,da2,
192,19,1,86,67,0.00048570899525657296,19,11688,a2,
192,19,1,87,68,0.0007204589783214033,19,8968,lee,
192,19,0,36,16,0.00024041597498580813,20,1776,larbsa,MERGEINTRAIL R:17
192,19,11,42,21,0.00027716701151803136,21,2552,larbsa-pythag,MERGEPOINT R:19
192,19,1,36,17,0.00030945800244808197,19,1768,larbsa-pruned,MERGEDIRECT R:17
192,19,3,41,22,0.0004606660222634673,19,1872,larbsa-pruned-spacing,MERGEDIRECT R:17
192,19,7,85,71,0.0008734579896554351,14,3248,larbsa-8-pruned-spacing,MERGEINTRAIL R:25
