seed,density,numberOfRightAngleTurns,visitSize,visitExcess,duration,pathSize,maxMemory,algorithm,message
298,31,6,44,24,0.0006592079880647361,19,9264,da2,
298,31,6,74,55,0.00039600004674866796,19,5680,a2,
298,31,6,74,55,0.0006052089738659561,19,5128,lee,
298,31,6,37,15,0.00030524999601766467,22,2456,larbsa,MERGEINTRAIL R:21
298,31,8,38,19,0.0002833330072462559,19,2440,larbsa-pythag,MERGEPOINT R:19
298,31,6,37,16,0.00036395800998434424,21,2448,larbsa-pruned,MERGEDIRECT R:21
298,31,6,40,19,0.00047795899445191026,21,2496,larbsa-pruned-spacing,MERGEDIRECT R:21
298,31,9,52,40,0.0006039580330252647,12,2392,larbsa-8-pruned-spacing,MERGEDIRECT R:18
298,31,4,62,55,0.0017585420282557607,7,3368,rrt,
298,31,9,52,40,0.0009501250460743904,12,5872,jps,
298,31,6,76,57,0.02322862495202571,19,3384,bf,
298,31,5,76,57,0.00033175002317875624,19,3712,spfa,
299,31,4,35,15,0.0004936250043101609,19,6096,da2,
299,31,4,63,44,0.00034433399559929967,19,5680,a2,
299,31,4,77,58,0.0007630409672856331,19,5128,lee,
299,31,4,34,14,0.00030504202004522085,20,1752,larbsa,MERGEINTRAIL R:17
299,31,12,36,17,0.0003772919881157577,19,1840,larbsa-pythag,MERGEPOINT R:17
299,31,4,34,15,0.0003212919691577554,19,1744,larbsa-pruned,MERGEDIRECT R:17
299,31,8,38,19,0.0004735420225188136,19,1872,larbsa-pruned-spacing,MERGEDIRECT R:17
299,31,10,49,35,0.0005949580227024853,14,2040,larbsa-8-pruned-spacing,MERGEDIRECT R:14
299,31,2,8,4,5.504098953679204e-05,4,512,rrt,
299,31,9,38,27,0.0005510409828275442,11,2984,jps,
299,31,4,78,59,0.023550332989543676,19,3384,bf,
299,31,8,78,59,0.0003040420124307275,19,3712,spfa,
301,31,7,47,25,0.0008150840294547379,21,8176,da2,
301,31,8,69,48,0.00036750000435858965,21,5744,a2,
301,31,8,75,54,0.000618541962467134,21,5128,lee,
301,31,10,59,33,0.00042266701348125935,26,2840,larbsa,MERGEINTRAIL R:35
301,31,14,56,33,0.00039620796451345086,23,2752,larbsa-pythag,MERGEPOINT R:31
301,31,6,59,38,0.0005332499858923256,21,2736,larbsa-pruned,MERGEDIRECT R:35
301,31,6,60,39,0.0006919170264154673,21,2760,larbsa-pruned-spacing,MERGEDIRECT R:34
301,31,12,63,47,0.0006647499976679683,16,2784,larbsa-8-pruned-spacing,MERGEINTRAIL R:21
