seed,density,numberOfRightAngleTurns,visitSize,visitExcess,duration,pathSize,maxMemory,algorithm,message
30,4,2,36,16,0.00045616598799824715,19,6176,da2,
30,4,1,97,78,0.0005683329654857516,19,11688,a2,
30,4,1,97,78,0.0008707079687155783,19,8968,lee,
30,4,0,37,17,0.00024358299560844898,20,1856,larbsa,MERGEINTRAIL R:17
30,4,11,47,28,0.0002644580090418458,19,2032,larbsa-pythag,MERGEPOINT R:17
30,4,1,37,18,0.0003086659708060324,19,1848,larbsa-pruned,MERGEDIRECT R:17
30,4,5,50,31,0.0006204589735716581,19,2072,larbsa-pruned-spacing,MERGEDIRECT R:17
30,4,8,61,49,0.0008113340009003878,12,2200,larbsa-8-pruned-spacing,MERGEDIRECT R:10
30,4,2,6,2,3.691599704325199e-05,4,512,rrt,
30,4,8,39,29,0.0005958749679848552,10,3080,jps,
30,4,1,97,78,0.0003632910083979368,19,6904,bf,
30,4,3,97,78,0.0003517919685691595,19,6904,spfa,
31,4,5,47,27,0.000667415966745466,19,10032,da2,
31,4,5,94,75,0.0005320839700289071,19,11688,a2,
31,4,5,97,78,0.0008417090284638107,19,8968,lee,
31,4,5,40,20,0.0002507079625502229,20,1904,larbsa,MERGEINTRAIL R:17
31,4,11,47,28,0.0002560000284574926,19,2032,larbsa-pythag,MERGEPOINT R:17
31,4,5,40,21,0.0003079169546253979,19,1896,larbsa-pruned,MERGEDIRECT R:17
31,4,7,49,30,0.0006148749962449074,19,2056,larbsa-pruned-spacing,MERGEDIRECT R:17
31,4,8,50,40,0.000679749995470047,10,1856,larbsa-8-pruned-spacing,MERGEINTRAIL R:8
31,4,4,24,17,0.0001704170135781169,7,1736,rrt,
31,4,8,40,30,0.0006970409885980189,10,3080,jps,
31,4,5,97,78,0.0008509999606758356,19,6904,bf,
31,4,1,97,78,0.0003511669929139316,19,6904,spfa,
32,4,2,34,14,0.00043841596925631166,19,6096,da2,
32,4,1,96,77,0.0005529160262085497,19,11656,a2,
32,4,1,96,77,0.0008265830110758543,19,8968,lee,
32,4,0,35,15,0.0002377500059083104,20,1760,larbsa,MERGEINTRAIL R:17
32,4,15,48,29,0.00027029099874198437,19,2320,larbsa-pythag,MERGEPOINT R:18
32,4,1,35,16,0.0003025410114787519,19,1752,larbsa-pruned,MERGEDIRECT R:17
