seed,density,numberOfRightAngleTurns,visitSize,visitExcess,duration,pathSize,maxMemory,algorithm,message
40,5,3,41,21,0.00044591701589524746,19,7280,da2,
40,5,3,97,78,0.0005795000470243394,19,11656,a2,
40,5,3,97,78,0.0008307090029120445,19,8968,lee,
40,5,3,41,21,0.00024408299941569567,20,1952,larbsa,MERGEINTRAIL R:17
40,5,11,46,27,0.00026175001403316855,19,2024,larbsa-pythag,MERGEPOINT R:17
40,5,3,41,22,0.00031416595447808504,19,1944,larbsa-pruned,MERGEDIRECT R:17
40,5,5,49,30,0.0006274590268731117,19,2064,larbsa-pruned-spacing,MERGEDIRECT R:17
40,5,8,60,48,0.0007783339824527502,12,2192,larbsa-8-pruned-spacing,MERGEDIRECT R:10
40,5,2,22,16,0.00014662503963336349,6,1736,rrt,
40,5,8,39,29,0.0005840419908054173,10,3080,jps,
40,5,3,97,78,0.0003553329734131694,19,6904,bf,
40,5,3,97,78,0.0003481250023469329,19,6904,spfa,
41,5,5,40,20,0.0004758749855682254,19,6200,da2,
41,5,5,95,76,0.0005446249851956964,19,11656,a2,
41,5,5,95,76,0.0008267499506473541,19,8968,lee,
41,5,5,38,18,0.00024979200679808855,20,1872,larbsa,MERGEINTRAIL R:17
41,5,11,44,25,0.00025870802346616983,19,1960,larbsa-pythag,MERGEPOINT R:17
41,5,5,38,19,0.0003136669984087348,19,1864,larbsa-pruned,MERGEDIRECT R:17
41,5,5,48,29,0.0005707080126740038,19,2056,larbsa-pruned-spacing,MERGEDIRECT R:17
41,5,9,71,59,0.0008097920217551291,12,2368,larbsa-8-pruned-spacing,MERGEDIRECT R:14
41,5,5,61,52,0.001093874976504594,9,3368,rrt,
41,5,8,35,25,0.0004854580038227141,10,3048,jps,
41,5,5,95,76,0.00034741696435958147,19,6904,bf,
41,5,1,95,76,0.0003403750015422702,19,6904,spfa,
42,5,3,42,22,0.0005387500277720392,19,7296,da2,
42,5,3,97,78,0.0005535840173251927,19,11688,a2,
42,5,3,97,78,0.0008466669823974371,19,8968,lee,
42,5,3,40,20,0.0002423750120215118,20,1904,larbsa,MERGEINTRAIL R:17
42,5,11,47,28,0.00026458402862772346,19,2032,larbsa-pythag,MERGEPOINT R:17
42,5,3,40,21,0.00030916696414351463,19,1896,larbsa-pruned,MERGEDIRECT R:17
42,5,5,46,27,0.0005595829570665956,19,2008,larbsa-pruned-spacing,MERGEDIRECT R:17
42,5,9,55,43,0.0007087499834597111,12,2040,larbsa-8-pruned-spacing,MERGEDIRECT R:10
42,5,5,64,57,0.0010723330196924508,7,3368,rrt,
42,5,9,47,36,0.001312499982304871,11,5984,jps,
42,5,3,97,78,0.00035704101901501417,19,6904,bf,
42,5,1,97,78,0.0003487080102786422,19,6904,spfa,
43,5,4,42,20,0.000563874957151711,21,7304,da2,
43,5,5,91,72,0.0005100000416859984,19,11688,a2,
43,5,5,96,77,0.0008183330064639449,19,8968,lee,
43,5,6,47,23,0.00028670899337157607,24,2672,larbsa,MERGEINTRAIL R:21
43,5,11,49,30,0.0002619170118123293,19,2064,larbsa-pythag,MERGEPOINT R:17
43,5,5,47,28,0.0003570420085452497,19,2568,larbsa-pruned,MERGEDIRECT R:21
43,5,9,49,30,0.000633792020380497,19,2064,larbsa-pruned-spacing,MERGEDIRECT R:17
43,5,8,50,40,0.0007015419541858137,10,1864,larbsa-8-pruned-spacing,MERGEINTRAIL R:8
43,5,4,92,86,0.005568124994169921,6,6888,rrt,
43,5,8,41,31,0.0006810419727116823,10,3080,jps,
43,5,5,96,77,0.0006368749891407788,19,6904,bf,
43,5,3,96,77,0.0003534999559633434,19,6904,spfa,
44,5,3,41,21,0.0005083340220153332,19,7280,da2,
44,5,3,95,76,0.0005447909934446216,19,11688,a2,
44,5,3,95,76,0.000812582962680608,19,8968,lee,
44,5,3,39,19,0.00023962499108165503,20,1896,larbsa,MERGEINTRAIL R:17
44,5,9,44,25,0.00025795900728553534,19,2000,larbsa-pythag,MERGEPOINT R:17
44,5,3,39,20,0.00030870799673721194,19,1888,larbsa-pruned,MERGEDIRECT R:17
44,5,7,50,31,0.0006165830418467522,19,2072,larbsa-pruned-spacing,MERGEDIRECT R:17
44,5,9,66,54,0.0007980000227689743,12,2288,larbsa-8-pruned-spacing,MERGEDIRECT R:11
44,5,4,71,65,0.0015952499816194177,6,3368,rrt,
44,5,8,38,28,0.0005524159641936421,10,3080,jps,
44,5,3,95,76,0.00035258301068097353,19,6904,bf,
44,5,1,95,76,0.00035099999513477087,19,6904,spfa,
45,5,2,34,14,0.00044450000859797,19,6096,da2,
45,5,1,95,76,0.0005459589883685112,19,11656,a2,
45,5,1,95,76,0.0008099160040728748,19,8968,lee,
45,5,0,35,15,0.00023804197553545237,20,1760,larbsa,MERGEINTRAIL R:17
45,5,11,46,27,0.00025949999690055847,19,2024,larbsa-pythag,MERGEPOINT R:17
45,5,1,35,16,0.00030516699189320207,19,1752,larbsa-pruned,MERGEDIRECT R:17
45,5,7,60,41,0.0007080829818733037,19,2904,larbsa-pruned-spacing,MERGEINTRAIL R:22
45,5,8,58,48,0.0007100410293787718,10,2168,larbsa-8-pruned-spacing,MERGEDIRECT R:9
45,5,4,16,10,0.00012462498852983117,6,920,rrt,
45,5,8,36,26,0.0005913750501349568,10,3080,jps,
45,5,1,95,76,0.00034425000194460154,19,6904,bf,
45,5,3,95,76,0.00033533305395394564,19,6904,spfa,
46,5,3,34,14,0.0004337920108810067,19,6088,da2,
46,5,3,96,77,0.0005623330362141132,19,11656,a2,
46,5,3,96,77,0.0008275000145658851,19,8968,lee,
46,5,3,35,15,0.00023612502263858914,20,1760,larbsa,MERGEINTRAIL R:17
46,5,11,49,30,0.0002650829846970737,19,2064,larbsa-pythag,MERGEPOINT R:17
46,5,3,35,16,0.00030625000363215804,19,1752,larbsa-pruned,MERGEDIRECT R:17
46,5,9,50,31,0.0006280830129981041,19,2072,larbsa-pruned-spacing,MERGEDIRECT R:17
46,5,8,51,41,0.0007229159818962216,10,1872,larbsa-8-pruned-spacing,MERGEINTRAIL R:8
46,5,3,9,4,4.6916946303099394e-05,5,512,rrt,
46,5,8,41,31,0.000694249989464879,10,3080,jps,
46,5,3,96,77,0.0003482080064713955,19,6904,bf,
46,5,3,96,77,0.00033820903627201915,19,6904,spfa,
47,5,5,42,22,0.00048733397852629423,19,7288,da2,
47,5,5,95,76,0.000547999981790781,19,11656,a2,
47,5,5,95,76,0.0008029169985093176,19,8968,lee,
47,5,5,40,20,0.0002419159864075482,20,1952,larbsa,MERGEINTRAIL R:17
47,5,15,49,30,0.0002691249828785658,19,2360,larbsa-pythag,MERGEPOINT R:18
47,5,5,40,21,0.00031329202465713024,19,1944,larbsa-pruned,MERGEDIRECT R:17
47,5,9,46,27,0.0005966660100966692,19,2040,larbsa-pruned-spacing,MERGEDIRECT R:17
47,5,8,58,46,0.0007088750135153532,12,2128,larbsa-8-pruned-spacing,MERGEINTRAIL R:10
47,5,2,80,75,0.0021942920284345746,5,3368,rrt,
47,5,8,38,28,0.0005300830234773457,10,3080,jps,
47,5,5,95,76,0.0003411250072531402,19,6904,bf,
47,5,1,95,76,0.0003367500030435622,19,6904,spfa,
48,5,2,35,15,0.00044012500438839197,19,6168,da2,
48,5,1,95,76,0.0005430000019259751,19,11656,a2,
48,5,1,95,76,0.0008127500186674297,19,8968,lee,
48,5,0,36,16,0.00023795798188075423,20,1848,larbsa,MERGEINTRAIL R:17
48,5,11,49,30,0.00026187498588114977,19,2064,larbsa-pythag,MERGEPOINT R:17
48,5,1,36,17,0.00030500005232170224,19,1840,larbsa-pruned,MERGEDIRECT R:17
48,5,7,50,31,0.0006219999631866813,19,2072,larbsa-pruned-spacing,MERGEDIRECT R:17
48,5,8,51,41,0.0007140410016290843,10,1872,larbsa-8-pruned-spacing,MERGEINTRAIL R:8
48,5,3,75,70,0.002298792009241879,5,3368,rrt,
48,5,8,39,29,0.0006450839573517442,10,3080,jps,
48,5,1,95,76,0.0003470000228844583,19,6904,bf,
48,5,1,95,76,0.0003421250148676336,19,6904,spfa,
49,5,2,34,14,0.00043329200707376003,19,6160,da2,
49,5,1,96,77,0.0005424999981187284,19,11656,a2,
49,5,1,96,77,0.0008274579886347055,19,8968,lee,
49,5,0,35,15,0.0002388330176472664,20,1768,larbsa,MERGEINTRAIL R:17
49,5,13,47,28,0.0002592080272734165,19,2048,larbsa-pythag,MERGEPOINT R:17
49,5,1,35,16,0.00030116597190499306,19,1760,larbsa-pruned,MERGEDIRECT R:17
49,5,9,50,31,0.0006283330149017274,19,2072,larbsa-pruned-spacing,MERGEDIRECT R:17
49,5,8,51,41,0.0006871250225231051,10,1872,larbsa-8-pruned-spacing,MERGEINTRAIL R:8
49,5,4,39,33,0.0003917499561794102,6,1736,rrt,
49,5,8,39,29,0.0006549580139108002,10,3080,jps,
49,5,1,96,77,0.0003485840279608965,19,6904,bf,
49,5,3,96,77,0.00034012499963864684,19,6904,spfa,
