seed,density,numberOfRightAngleTurns,visitSize,visitExcess,duration,pathSize,maxMemory,algorithm,message
80,9,3,44,24,0.0004926249966956675,19,10016,da2,
80,9,4,91,72,0.00048020901158452034,19,11752,a2,
80,9,4,91,72,0.0007706249598413706,19,8968,lee,
80,9,3,44,24,0.00025874999118968844,20,2008,larbsa,MERGEINTRAIL R:17
80,9,14,50,27,0.0003046669880859554,23,2696,larbsa-pythag,MERGEPOINT R:21
80,9,4,44,25,0.00034262496046721935,19,2000,larbsa-pruned,MERGEDIRECT R:17
80,9,6,45,26,0.000526249990798533,19,2016,larbsa-pruned-spacing,MERGEDIRECT R:17
80,9,10,59,44,0.0007075419998727739,15,2216,larbsa-8-pruned-spacing,MERGEDIRECT R:15
80,9,2,4,0,3.512500552460551e-05,4,328,rrt,
80,9,9,48,37,0.0008778750197961926,11,5904,jps,
80,9,4,91,72,0.00033487501787021756,19,6904,bf,
80,9,3,91,72,0.00032508402364328504,19,6904,spfa,
81,9,2,35,15,0.0004406670341268182,19,6168,da2,
81,9,1,92,73,0.0005386670236475766,19,11656,a2,
81,9,1,92,73,0.0007775829872116446,19,8968,lee,
81,9,0,36,16,0.00023974996292963624,20,1848,larbsa,MERGEINTRAIL R:17
81,9,13,45,26,0.000260916945990175,19,2016,larbsa-pythag,MERGEPOINT R:17
81,9,1,36,17,0.0003147500101476908,19,1840,larbsa-pruned,MERGEDIRECT R:17
81,9,5,41,22,0.0005257500451989472,19,1912,larbsa-pruned-spacing,MERGEDIRECT R:17
81,9,9,52,40,0.0006213330198079348,12,2040,larbsa-8-pruned-spacing,MERGEINTRAIL R:10
81,9,3,8,3,4.658399848267436e-05,5,512,rrt,
81,9,9,47,36,0.0008834580075927079,11,5936,jps,
81,9,1,92,73,0.00033887499012053013,19,6904,bf,
81,9,3,92,73,0.0003284999984316528,19,6904,spfa,
82,9,2,36,16,0.00043949997052550316,19,6176,da2,
82,9,1,91,72,0.0004944580141454935,19,11688,a2,
82,9,1,92,73,0.0007788329967297614,19,8968,lee,
82,9,0,37,17,0.00023912498727440834,20,1856,larbsa,MERGEINTRAIL R:17
82,9,11,43,24,0.00028912496054545045,19,1984,larbsa-pythag,MERGEPOINT R:17
82,9,1,37,18,0.00037299998803064227,19,1848,larbsa-pruned,MERGEDIRECT R:17
82,9,9,51,30,0.0005888749728910625,21,2664,larbsa-pruned-spacing,MERGEDIRECT R:19
82,9,7,73,58,0.0007971249870024621,15,2432,larbsa-8-pruned-spacing,MERGEDIRECT R:14
82,9,2,16,11,9.104202035814524e-05,5,920,rrt,
82,9,9,51,40,0.0009312500478699803,11,5872,jps,
82,9,1,92,73,0.000628792040515691,19,6904,bf,
82,9,5,92,73,0.0003463750472292304,19,6904,spfa,
83,9,2,34,14,0.0004360420280136168,19,6096,da2,
83,9,1,92,73,0.0005037079681642354,19,11720,a2,
83,9,1,92,73,0.0007940840441733599,19,8968,lee,
83,9,0,35,15,0.0002383749815635383,20,1760,larbsa,MERGEINTRAIL R:17
83,9,11,44,23,0.00026820896891877055,21,2568,larbsa-pythag,MERGEPOINT R:19
83,9,1,35,16,0.00029970804462209344,19,1752,larbsa-pruned,MERGEDIRECT R:17
83,9,5,40,21,0.000509292003698647,19,1936,larbsa-pruned-spacing,MERGEDIRECT R:17
83,9,8,50,36,0.0006331250187940896,14,1992,larbsa-8-pruned-spacing,MERGEDIRECT R:12
83,9,2,57,52,0.0008205829653888941,5,3368,rrt,
83,9,9,43,32,0.0006102079642005265,11,5840,jps,
83,9,1,92,73,0.00034300005063414574,19,6904,bf,
83,9,2,92,73,0.0003322500269860029,19,6904,spfa,
84,9,2,36,16,0.0004360000020824373,19,6176,da2,
84,9,1,92,73,0.0005271249683573842,19,11656,a2,
84,9,1,92,73,0.0007831660332158208,19,8968,lee,
84,9,0,37,17,0.0002411670284345746,20,1856,larbsa,MERGEINTRAIL R:17
84,9,11,48,29,0.0002650829846970737,19,2056,larbsa-pythag,MERGEPOINT R:17
84,9,1,37,18,0.00030687497928738594,19,1848,larbsa-pruned,MERGEDIRECT R:17
84,9,5,47,28,0.0005830420413985848,19,2048,larbsa-pruned-spacing,MERGEDIRECT R:17
84,9,9,61,49,0.0008167499909177423,12,2264,larbsa-8-pruned-spacing,MERGEDIRECT R:11
84,9,1,30,26,0.000305499997921288,4,1736,rrt,
84,9,9,56,45,0.0014179169666022062,11,5872,jps,
84,9,1,92,73,0.000344583997502923,19,6904,bf,
84,9,5,92,73,0.0003379589761607349,19,6904,spfa,
85,9,3,35,15,0.0004315829719416797,19,6160,da2,
85,9,3,92,73,0.0005306669627316296,19,11656,a2,
85,9,3,92,73,0.0007751249941065907,19,8968,lee,
85,9,3,35,15,0.00024116603890433908,20,1768,larbsa,MERGEINTRAIL R:17
85,9,11,45,26,0.00026479101506993175,19,2016,larbsa-pythag,MERGEPOINT R:17
85,9,3,35,16,0.0003088749945163727,19,1760,larbsa-pruned,MERGEDIRECT R:17
85,9,11,45,26,0.000565375026781112,19,2016,larbsa-pruned-spacing,MERGEDIRECT R:17
85,9,8,48,36,0.0006323330453597009,12,1952,larbsa-8-pruned-spacing,MERGEINTRAIL R:10
85,9,2,66,60,0.0013346660416573286,6,3368,rrt,
85,9,9,46,35,0.001408417010679841,11,6224,jps,
85,9,3,93,74,0.00035008403938263655,19,6904,bf,
85,9,4,93,74,0.00034024997148662806,19,6904,spfa,
86,9,3,39,19,0.0005103329895064235,19,6096,da2,
86,9,3,88,69,0.0005032919580116868,19,11656,a2,
86,9,3,92,73,0.0007772909593768418,19,8968,lee,
86,9,4,53,33,0.0003194590099155903,20,2688,larbsa,MERGEINTRAIL R:25
86,9,11,46,27,0.0002634159754961729,19,2032,larbsa-pythag,MERGEPOINT R:17
86,9,5,53,34,0.0004013329744338989,19,2680,larbsa-pruned,MERGEDIRECT R:25
86,9,5,50,31,0.0006187499966472387,19,2072,larbsa-pruned-spacing,MERGEDIRECT R:17
86,9,7,74,59,0.0009042919846251607,15,2488,larbsa-8-pruned-spacing,MERGEDIRECT R:13
86,9,4,77,71,0.0023588750045746565,6,3368,rrt,
86,9,9,54,43,0.0015772909973748028,11,5936,jps,
86,9,3,92,73,0.0008939160034060478,19,6904,bf,
86,9,5,92,73,0.00033887499012053013,19,6904,spfa,
87,9,2,41,21,0.00046366697642952204,19,7280,da2,
87,9,2,88,69,0.000501333037391305,19,11688,a2,
87,9,2,92,73,0.0007679170230403543,19,8968,lee,
87,9,2,40,20,0.000253666948992759,20,1872,larbsa,MERGEINTRAIL R:17
87,9,12,44,25,0.00026225001784041524,19,2000,larbsa-pythag,MERGEPOINT R:17
87,9,2,40,21,0.0003095839638262987,19,1864,larbsa-pruned,MERGEDIRECT R:17
87,9,8,47,28,0.0005717499880120158,19,2040,larbsa-pruned-spacing,MERGEDIRECT R:17
87,9,9,54,42,0.0006800830014981329,12,2072,larbsa-8-pruned-spacing,MERGEINTRAIL R:10
87,9,4,22,16,0.00014404201647266746,6,1736,rrt,
