seed,density,numberOfRightAngleTurns,visitSize,visitExcess,duration,pathSize,maxMemory,algorithm,message
263,26,3,35,15,0.00047804199857637286,19,6032,da2,
263,26,3,78,59,0.0004047499969601631,19,5712,a2,
263,26,3,80,61,0.0006481670425273478,19,5128,lee,
263,26,3,37,17,0.0002463750424794853,20,1872,larbsa,MERGEINTRAIL R:17
263,26,9,39,20,0.00025954103330150247,19,1928,larbsa-pythag,MERGEPOINT R:17
263,26,3,37,18,0.0003129999968223274,19,1864,larbsa-pruned,MERGEDIRECT R:17
263,26,3,37,18,0.0004250829806551337,19,1864,larbsa-pruned-spacing,MERGEDIRECT R:17
263,26,10,121,106,0.0012949159718118608,15,4936,larbsa-8-pruned-spacing,MERGEINTRAIL R:59
263,26,2,58,54,0.0010494160233065486,4,3368,rrt,
263,26,9,36,25,0.0005059579852968454,11,2984,jps,
263,26,3,80,61,0.0006844160379841924,19,3384,bf,
263,26,7,80,61,0.0005127910408191383,19,3712,spfa,
264,26,7,39,19,0.000677583971992135,19,7168,da2,
264,26,7,53,34,0.00028787495102733374,19,5712,a2,
264,26,7,75,56,0.0006488329963758588,19,5128,lee,
264,26,8,48,28,0.0003587499959394336,20,2568,larbsa,MERGEINTRAIL R:28
264,26,11,49,30,0.0003588330000638962,19,2552,larbsa-pythag,MERGEPOINT R:28
264,26,7,48,29,0.0004189999890513718,19,2560,larbsa-pruned,MERGEINTRAIL R:28
264,26,6,52,33,0.0005932499771006405,19,2656,larbsa-pruned-spacing,MERGEINTRAIL R:28
264,26,9,70,56,0.0007799160084687173,14,2784,larbsa-8-pruned-spacing,MERGEINTRAIL R:28
264,26,2,7,3,4.2625004425644875e-05,4,512,rrt,
264,26,9,34,23,0.00041375000728294253,11,3016,jps,
264,26,7,76,57,0.02171170903602615,19,3384,bf,
264,26,6,76,57,0.00032408401602879167,19,3712,spfa,
266,26,8,32,12,0.0004890839918516576,19,5392,da2,
266,26,9,56,37,0.0002911249757744372,19,5712,a2,
266,26,9,76,57,0.0006197080365382135,19,5128,lee,
266,26,8,34,14,0.0002452500048093498,20,1808,larbsa,MERGEINTRAIL R:17
266,26,11,38,19,0.0002722080098465085,19,2168,larbsa-pythag,MERGEPOINT R:18
266,26,9,34,15,0.0003186250105500221,19,1800,larbsa-pruned,MERGEDIRECT R:17
266,26,9,35,16,0.0004230000195093453,19,1816,larbsa-pruned-spacing,MERGEDIRECT R:17
266,26,11,66,52,0.0007351249805651605,14,2912,larbsa-8-pruned-spacing,MERGEDIRECT R:23
266,26,1,19,15,0.00020212499657645822,4,920,rrt,
266,26,9,38,27,0.0005271250265650451,11,2984,jps,
266,26,9,79,60,0.024256708042230457,19,3384,bf,
266,26,8,79,60,0.00032183300936594605,19,3712,spfa,
267,26,5,36,16,0.00048687501111999154,19,6104,da2,
267,26,6,67,48,0.0003613329608924687,19,5744,a2,
267,26,6,76,57,0.0006353330099955201,19,5128,lee,
267,26,5,36,16,0.00026041700039058924,20,1864,larbsa,MERGEINTRAIL R:17
267,26,8,41,22,0.00026433297898620367,19,2208,larbsa-pythag,MERGEPOINT R:18
267,26,6,36,17,0.00031366600887849927,19,1856,larbsa-pruned,MERGEDIRECT R:17
267,26,6,50,31,0.0005908329621888697,19,2664,larbsa-pruned-spacing,MERGEDIRECT R:23
267,26,8,55,40,0.0006860829889774323,15,2152,larbsa-8-pruned-spacing,MERGEDIRECT R:17
267,26,4,44,36,0.0007722919690422714,8,3368,rrt,
267,26,9,46,34,0.0008778329938650131,12,5840,jps,
267,26,6,76,57,0.0004957079654559493,19,3384,bf,
267,26,6,76,57,0.00028416700661182404,19,3712,spfa,
268,26,7,42,18,0.0006003750022500753,23,7256,da2,
268,26,5,43,24,0.0002286669914610684,19,5712,a2,
268,26,5,52,33,0.0004492920124903321,19,5128,lee,
268,26,5,42,22,0.00027650000993162394,20,2504,larbsa,MERGEINTRAIL R:20
268,26,11,39,20,0.0002542499569244683,19,1936,larbsa-pythag,MERGEPOINT R:17
268,26,5,42,23,0.0003589999978430569,19,2496,larbsa-pruned,MERGEINTRAIL R:20
268,26,9,48,29,0.0005136659601703286,19,2560,larbsa-pruned-spacing,MERGEINTRAIL R:20
268,26,8,49,35,0.0005377089837566018,14,2040,larbsa-8-pruned-spacing,MERGEINTRAIL R:12
268,26,3,63,58,0.0016707080067135394,5,3368,rrt,
268,26,9,30,19,0.0004196660011075437,11,2984,jps,
268,26,5,75,56,0.020465125038754195,19,3384,bf,
268,26,5,75,56,0.00021866598399356008,19,3712,spfa,
269,26,5,35,15,0.0005556659889407456,19,6032,da2,
