seed,density,numberOfRightAngleTurns,visitSize,visitExcess,duration,pathSize,maxMemory,algorithm,message
240,24,5,46,26,0.0005257499869912863,19,10024,da2,
240,24,5,78,59,0.0004082079976797104,19,5744,a2,
240,24,5,81,62,0.0006684170220978558,19,5128,lee,
240,24,5,39,19,0.00025512499269098043,20,1944,larbsa,MERGEINTRAIL R:17
240,24,13,43,24,0.00025649997405707836,19,1992,larbsa-pythag,MERGEPOINT R:17
240,24,5,39,20,0.0003185000387020409,19,1936,larbsa-pruned,MERGEDIRECT R:17
240,24,7,45,26,0.0005131669458933175,19,2008,larbsa-pruned-spacing,MERGEDIRECT R:17
240,24,9,60,47,0.0006613339646719396,13,2176,larbsa-8-pruned-spacing,MERGEDIRECT R:13
240,24,5,27,20,0.00024041696451604366,7,1736,rrt,
240,24,8,32,22,0.0004938329802826047,10,3080,jps,
240,24,5,81,62,0.0005508750327862799,19,3384,bf,
240,24,9,81,62,0.00030700000934302807,19,3712,spfa,
241,24,4,41,21,0.0005215409910306334,19,7152,da2,
241,24,4,66,47,0.0003477080026641488,19,5680,a2,
241,24,4,80,61,0.0006440830184146762,19,5128,lee,
241,24,6,42,20,0.00026808399707078934,22,2560,larbsa,MERGEINTRAIL R:19
241,24,8,43,24,0.00026570900809019804,19,2256,larbsa-pythag,MERGEPOINT R:18
241,24,4,42,23,0.00033487495966255665,19,2520,larbsa-pruned,MERGEDIRECT R:19
241,24,6,39,20,0.000478167028632015,19,1856,larbsa-pruned-spacing,MERGEDIRECT R:17
241,24,10,57,44,0.0006565829971805215,13,2096,larbsa-8-pruned-spacing,MERGEDIRECT R:14
241,24,3,51,46,0.0008355420432053506,5,3368,rrt,
241,24,9,37,26,0.000457499991171062,11,2984,jps,
241,24,4,81,62,0.0014584590098820627,19,3384,bf,
241,24,4,81,62,0.0002969999914057553,19,3712,spfa,
243,24,6,45,25,0.0005899579846300185,19,8264,da2,
243,24,6,59,40,0.00030987500213086605,19,5744,a2,
243,24,6,81,62,0.0006643329979851842,19,5128,lee,
