seed,density,numberOfRightAngleTurns,visitSize,visitExcess,duration,pathSize,maxMemory,algorithm,message
327,35,8,50,26,0.002233667008113116,23,9376,da2,
327,35,8,66,43,0.000831458019092679,23,5680,a2,
327,35,10,70,47,0.0014566670288331807,23,5128,lee,
327,35,14,52,20,0.00091608299408108,32,2816,larbsa,MERGEINTRAIL R:31
327,35,8,45,22,0.0009413749794475734,23,2584,larbsa-pythag,MERGEPOINT R:27
327,35,12,52,23,0.0015816669911146164,29,2792,larbsa-pruned,MERGEDIRECT R:31
327,35,10,69,44,0.0018998750019818544,25,3048,larbsa-pruned-spacing,MERGEINTRAIL R:39
327,35,9,81,63,0.0021784169948659837,18,3272,larbsa-8-pruned-spacing,MERGEINTRAIL R:33
327,35,4,60,53,0.003999000007752329,7,3368,rrt,
327,35,8,38,25,0.0015308330184780061,13,3016,jps,
327,35,8,71,48,0.04187504103174433,23,3384,bf,
327,35,4,71,48,0.0005597909912467003,23,3712,spfa,
